,Index,ID,Name,cluster
325,325,31637,Gate Jieitai Kanochi nite Kaku Tatakaeri 2nd Season,0
326,326,28249,Arslan Senki TV ,0
327,327,512,Majo no Takkyuubin,2
328,328,12293,Campione Matsurowanu Kamigami to Kamigoroshi no Maou,1
329,329,1686,Bleach Movie 1 Memories of Nobody,2
330,330,10030,Bakuman 2nd Season,1
331,331,9969,Gintama 039 ,2
332,332,2924,ef A Tale of Memories ,1
333,333,513,Tenkuu no Shiro Laputa,2
334,334,861,xxxHOLiC,1
335,335,22265,Free Eternal Summer,1
336,336,68,Black Cat,2
337,337,9289,Hanasaku Iroha,1
338,338,9379,Denpa Onna to Seishun Otoko,1
339,339,27655,Aldnoah Zero 2nd Season,0
340,340,57,Beck,1
341,341,10495,Yuru Yuri,1
342,342,18247,IS Infinite Stratos 2,2
343,343,25835,Shirobako,1
344,344,8407,Sora no Otoshimono Forte,1
345,345,6205,K mpfer,2
346,346,12531,Sakamichi no Apollon,1
347,347,10396,Ben To,2
348,348,530,Bishoujo Senshi Sailor Moon,1
349,349,7769,Ookami san to Shichinin no Nakama tachi,1
350,350,6500,Seikon no Qwaser,0
351,351,31636,Dagashi Kashi,1
352,352,23673,Ookami Shoujo to Kuro Ouji,1
353,353,4725,Ga Rei Zero,0
354,354,5060,Hetalia Axis Powers,1
355,355,25159,Inou Battle wa Nichijou kei no Naka de,1
356,356,21843,Shingeki no Bahamut Genesis,0
357,357,572,Kaze no Tani no Nausica ,2
358,358,16706,Kami nomi zo Shiru Sekai Megami hen,1
359,359,6512,Nyan Koi ,1
360,360,60,Chrno Crusade,0
361,361,32998,91 Days,0
362,362,9515,Highschool of the Dead Drifters of the Dead,1
363,363,2890,Gake no Ue no Ponyo,2
364,364,24765,Gakkougurashi ,0
365,365,21327,Isshuukan Friends ,2
366,366,6114,Rainbow Nisha Rokubou no Shichinin,0
367,367,9062,Angel Beats Specials,2
368,368,317,Final Fantasy VII Advent Children,2
369,369,13655,Little Busters ,1
370,370,6351,Clannad After Story Mou Hitotsu no Sekai Kyou hen,1
371,371,323,Mousou Dairinin,0
372,372,5,Cowboy Bebop Tengoku no Tobira,0
373,373,12413,Jormungand,0
374,374,16049,Toaru Kagaku no Railgun S,0
375,375,31404,Netoge no Yome wa Onnanoko ja Nai to Omotta ,1
376,376,17247,Machine Doll wa Kizutsukanai,2
377,377,3731,Itazura na Kiss,1
378,378,7338,Darker than Black Kuro no Keiyakusha Gaiden,0
379,379,13663,To LOVE Ru Darkness,1
380,380,11981,Mahou Shoujo Madoka Magica Movie 3 Hangyaku no Monogatari,1
381,381,1292,Afro Samurai,0
382,382,16762,Mirai Nikki Redial,0
383,383,3785,Evangelion 3 0 You Can Not Redo,2
384,384,11703,Code Breaker,0
385,385,9181,Motto To LOVE Ru,1
386,386,10588,Persona 4 the Animation,1
387,387,4722,Skip Beat ,1
388,388,2889,Bleach Movie 2 The DiamondDust Rebellion Mou Hitotsu no Hyourinmaru,2
389,389,177,Tsubasa Chronicle,2
390,390,27989,Hibike Euphonium,1
391,391,15085,Amnesia,1
392,392,10067,Angel Beats Another Epilogue,1
393,393,6682,11eyes,0
394,394,12365,Bakuman 3rd Season,1
395,395,20689,Hamatora The Animation,0
396,396,17549,Non Non Biyori,1
397,397,20541,Mikakunin de Shinkoukei,1
